Заболели;Умерли;Вылечились;Активные случаи
Синт-Мартен;4403;69;0;4334
Коморы;4165;147;0;4018
Сент-Винсент и Гренадины;4096;38;0;4058
Доминика;4006;26;0;3980
Сен-Мартен;3819;55;0;3764
Антигуа и Барбуда;3750;93;0;3657
Сан-Томе и Принсипи;3628;56;0;3572
Лихтенштейн;3566;60;0;3506
Монако;3335;35;0;3300
о-ва Тёркс и Кайкос;2898;23;0;2875
Виргинские о-ва ;2725;37;0;2688
Бутан;2613;3;0;2610
Сент-Китс и Невис;2361;17;0;2344
Сен-Бартелеми;1649;6;0;1643
Фарерские о-ва;1280;2;0;1278
Острова Кайман;960;2;0;958
Лайнер «Даймонд Принсесс»;712;13;0;699
Гренландия;623;0;0;623
Ангилья;544;1;0;543
Фолклендские о-ва;68;0;0;68
Монтсеррат;41;1;0;40
Сен-Пьер и Микелон;32;0;0;32
Ватикан;27;0;0;27
Соломоновы Острова;20;0;0;20
Палау;5;0;0;5
Вануату;4;1;0;3
Маршалловы Острова;4;0;0;4
Самоа;3;0;0;3
Кирибати;2;0;0;2
Федеративные Штаты Микронезии;1;0;0;1
Всего;238024682;4856738;6873579;226294365
